pactid,grant_title_original,grant_title_eng,main_research_sub_priority_number_new,secondary_research_sub_priority_number_new
C01072,"COVID-19: Harnessing Existing Research to provide Rapid Responses","COVID-19: Harnessing Existing Research to provide Rapid Responses","8f, 9c, 9e, 10b",
C01113,"Trust and Trustworthiness in National and Global Governance","Trust and Trustworthiness in National and Global Governance","8e, 8f, 9e",
C01179,"Pandemic Policing: public attitudes towards compliance and organisational resilience","Pandemic Policing: public attitudes towards compliance and organisational resilience","9a, 9b, 9e, 10a","5a, 8b, 8f"
C01253,"Impact of reducing in-person social contact on loneliness and depression among older people","Impact of reducing in-person social contact on loneliness and depression among older people","8f, 9a",5a
C01256,"Association between the social determinants of health and COVID19 in informal settlements","Association between the social determinants of health and COVID19 in informal settlements",8f,
C01794,"Knowledge, adherence and the lived experiences of refugees in COVID-19: A comparative assessment of urban and rural refugee settings in Uganda","Knowledge, adherence and the lived experiences of refugees in COVID-19: A comparative assessment of urban and rural refugee settings in Uganda","8f, 9a, 9c, 10c, 11a",8b
C01799,"Strengthening the humanitarian response to COVID-19 in Colombia","Strengthening the humanitarian response to COVID-19 in Colombia","3c, 9a, 9e, 10b, 10d","5a, 8b, 8f"
C01839,"Covid-19: How it is changing us","Covid-19: How it is changing us","9a, 9c, 9e, 10b ","5a, 8b, 8f"
C02361,"Making-Unmaking-Remaking Home in Lockdown Margate","Making-Unmaking-Remaking Home in Lockdown Margate","8f, 9a",10e
C02367,"The Messenger and the Message: Explaining Compliance Among the Mass Public During the COVID-19 Pandemic","The Messenger and the Message: Explaining Compliance Among the Mass Public During the COVID-19 Pandemic","8b, 8f, 9a, 9c, 9e",
C02369,"Solidarity in times of a pandemic: What do people do, and why? A comparative and longitudinal study","Solidarity in times of a pandemic: What do people do, and why? A comparative and longitudinal study","8f, 9a",
C02375,"Helping Those Who Need It Most: The Unequal Impact of COVID-19 and Policy Responses on Observed Infection Rates and Economic Status","Helping Those Who Need It Most: The Unequal Impact of COVID-19 and Policy Responses on Observed Infection Rates and Economic Status","3b, 9a, 9e",8f
C02383,"The role of neighbourhood conditions in mental health responses to the Covid-19 lockdown","The role of neighbourhood conditions in mental health responses to the Covid-19 lockdown","9a, 10a",8f
C02407,"For better or worse? An immersive diary study of the effects of return to work policies on disabled employees","For better or worse? An immersive diary study of the effects of return to work policies on disabled employees","8b, 8f, 9a",10e
C03006,"Capturing the anticipated/unanticipated consequences of COVID-19 (C19) and C19 prevention, management, and treatment strategies (C19PS) among Indigenous peoples (IP) in Arctic communities (AC)","Capturing the anticipated/unanticipated consequences of COVID-19 (C19) and C19 prevention, management, and treatment strategies (C19PS) among Indigenous peoples (IP) in Arctic communities (AC)","9a, 10b, 10e, 11a","8b, 8f"
